# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
0	0	19974
1	0	20157
2	0	21538
3	0	23071
4	0	24814
5	0	26578
6	0	28453
7	0	30373
8	0	32485
9	0	34642
10	0	36826
11	0	38999
12	0	41182
13	0	43514
14	0	45651
15	0	47718
16	0	49611
17	0	51341
18	0	52791
19	0	54037
20	0	54855
21	0	55461
22	0	55835
23	0	56100
24	0	56048
25	0	56064
26	0	56057
27	0	55906
28	0	55762
29	0	55653
30	0	55439
31	0	55218
32	0	55016
33	0	54880
34	0	54730
35	0	54714
36	0	54620
37	0	54572
38	0	54543
39	0	54484
40	0	54479
41	0	54467
42	0	54411
43	0	54440
44	0	54421
45	0	54514
46	0	54427
47	0	54522
48	0	54549
49	0	54613
50	0	54627
51	0	54752
